001;1;1;2025-12-03;
002;2;2;2025-12-03;2025-12-03
003;3;3;2025-11-20;2025-11-27
004;4;4;2025-11-22;
005;5;5;2025-11-18;2025-11-25
006;6;1;2025-11-10;2025-11-15
007;7;2;2025-11-12;
008;8;3;2025-11-01;2025-11-05
009;9;4;2025-10-28;
010;10;5;2025-10-30;2025-11-02
011;11;1;2025-10-15;2025-10-20
012;12;2;2025-10-18;
013;13;3;2025-10-01;
014;14;4;2025-09-20;2025-09-30
015;15;5;2025-09-25;
016;16;1;2025-09-10;
017;17;2;2025-09-05;2025-09-18
018;18;3;2025-08-28;2025-09-02
019;19;4;2025-08-30;
020;20;5;2025-08-15;2025-08-22
021;21;1;2025-08-01;2025-08-10
022;22;2;2025-07-20;
023;23;3;2025-07-22;2025-07-29
024;24;4;2025-07-10;
025;25;5;2025-06-30;2025-07-05
026;26;1;2025-06-25;
027;27;2;2025-06-15;2025-06-28
028;28;3;2025-06-05;
029;29;4;2025-06-01;2025-06-10
030;30;5;2025-05-20;
031;31;1;2025-05-10;2025-05-18
032;32;2;2025-05-01;
033;33;3;2025-04-22;2025-04-30
034;34;4;2025-04-15;
035;35;5;2025-04-01;2025-04-10
036;36;1;2025-03-25;
037;37;2;2025-03-15;2025-03-22
038;38;3;2025-03-01;
039;39;4;2025-02-20;2025-02-28
040;40;5;2025-02-10;
041;41;1;2025-02-01;2025-02-07
042;42;2;2025-01-20;
043;43;3;2025-01-10;2025-01-15
044;44;4;2025-01-01;
045;45;5;2024-12-15;2024-12-22
046;46;1;2024-12-05;
047;47;2;2024-11-20;2024-11-30
048;48;3;2024-11-10;
049;49;4;2024-10-25;2024-11-05
050;50;5;2024-10-01;
